Designator,Qty,Value/Part,Package,LCSC,Notes
U1,1,RP2040,QFN-56 7x7,C2040,메인 MCU. 디커플 핀별 100nF
U2,1,W25Q128JVSIQ,SOIC-8 208mil,C97521,QSPI NOR 16MB 부팅 플래시 (Pico는 W25Q16=C82339)
U3,1,BQ25180YBGR,DSBGA-9,C2682744,1셀 충전+파워패스+ship+I2C (볼맵 데이터시트 확정)
U4,1,RT6150B-33GQW,WDFN-10,C2830944,VSYS->3V3 벅부스트 (Pico와 동일 계열, 핀맵 확정)
U5,1,CYW43439KUBG,FBGA,,무선 콤보. 단품 소싱난이도 높음->Pico W 복제 또는 인증모듈 대체
U6,1,USBLC6-2SC6,SOT-23-6,C7519,USB D+/D- ESD 보호 (선택이나 권장)
Y1,1,12MHz Crystal,SMD 3225,C9002,부하용량 데이터시트 CL 확인
L1,1,2.2uH,SMD 1210,C167219,벅부스트 인덕터 (RT6150 권장값 확인)
J1,1,USB-C 16P Receptacle,TYPE-C-31-M-12,C165948,단일 USB-C 데이터+충전
J2,1,JST PH 2P,2.0mm,C173752,1셀 리포 배터리 커넥터
D_TVS,1,SMF5.0A,SOD-123,C82336,VBUS TVS 보호
SW_PWR,1,Tactile,SMD,C318884,전원 버튼(3초 ON)
SW_BOOT,1,Tactile,SMD,C318884,BOOTSEL
SW_RUN,1,Tactile,SMD,C318884,RUN/리셋
R_CC1,1,5.1k,0402,C25905,USB-C CC1 Rd (sink)
R_CC2,1,5.1k,0402,C25905,USB-C CC2 Rd (sink) - CC1과 따로!
R_DP,1,27,0402,C25109,USB D+ 직렬
R_DM,1,27,0402,C25109,USB D- 직렬
R_SDA,1,4.7k,0402,C25900,I2C SDA 풀업
R_SCL,1,4.7k,0402,C25900,I2C SCL 풀업
R_INT,1,100k,0402,C25741,BQ25180 /INT 풀업
R_EN,1,100k,0402,C25741,벅부스트 EN 풀업->VSYS
R_RUN,1,10k,0402,C25744,RUN 풀업
R_BTN,1,100k,0402,C25741,전원버튼 풀업->VSYS
R_VS1,1,100k,0402,C25741,VBUS 분압 상(보조 감지/선택)
R_VS2,1,100k,0402,C25741,VBUS 분압 하(보조 감지/선택)
R_ILIM,1,TBD,0402,,충전전류 설정(셀 용량 확정 후) 또는 I2C
RT_NTC,1,10k NTC,0402,C13564,배터리 온도(TS) 미사용시 고정전압 분압
FB1,1,Ferrite Bead,0402,C1015,ADC_AVDD 분리
C_VIN,1,1uF,0402,C15849,BQ25180 입력
C_SYS,1,1uF,0402,C15849,BQ25180 SYS
C_BAT,1,1uF,0402,C15849,BQ25180 BAT
C_BB_IN,1,10uF,0805,C15850,벅부스트 입력
C_BB_OUT,1,22uF,0805,C45783,벅부스트 출력
C_L1,1,15pF,0402,C1548,크리스탈 부하(CL에서 역산)
C_L2,1,15pF,0402,C1548,크리스탈 부하
C_VREG,1,1uF,0402,C15849,VREG_VIN/VOUT
C_CORE,1,1uF,0402,C15849,DVDD 코어 1.1V
C_DEC,12,100nF,0402,C1525,IC 핀별 디커플(IOVDD/USB/ADC/플래시/CYW43 등)
